flower,plant_type,color,hardiness_zones,blooms_in,height,soil_needs,sun_needs,water_needs,maintenance,images
Rafflesia (Rafflesia),,Rafflesia flowers are reddish brown with white marks on its petals.,13,"Spring, Autumn, Winter, Summer",Rafflesia can reach up to 1 m (more than 3 ft) in diameter. ,"Rafflesia is a parasitic plant and depends completely upon its host, so it doesn't need any soil. Anyway, it has no roots, leaves or stem.","Full sun, Partial sun, Shade",avarage,low,"images/rafflesia_0.jpg, images/rafflesia_1.jpg, images/rafflesia_2.jpg, images/rafflesia_3.jpg, images/rafflesia_4.jpg, images/rafflesia_5.jpg, images/rafflesia_6.jpg"
Ranunculus (Buttercup; Crowfoot; Spearwort),"Annuals, Bulbs, Perennials","Ranunculus colors are mostly in range from white, yellow and gold to pink and red.",7-11,"Spring, Summer","Ranunculus can reach a height of 20-60 cm (8 inches to 2 ft), depending on species.","Ranunculus prefer moist, but well drained soil. The pH level of the soil should be slightly acidic.","Full sun, Partial sun",avarage,low,"images/ranunculus_0.jpg, images/ranunculus_1.jpg, images/ranunculus_2.jpg, images/ranunculus_3.jpg, images/ranunculus_4.jpg, images/ranunculus_5.jpg, images/ranunculus_6.jpg"
Rhododendron (Rhododendron),"Shrubs, Trees","Rhododendron blooms in various colors, from pure white to red, orange and pink to gold and purple.",3-11,"Spring, Autumn, Winter, Summer","Rhododendron grows from low ground covers and medium sizes shrubs to tree-size plants, from 30 cm to 4,5 metres (1 to 15 ft) high.","Rhododendrons will perform best in moist and well drained soil, with a pH level between 4.5 and 6.0.",Partial sun,avarage,low,"images/rhododendron_0.jpg, images/rhododendron_1.jpg, images/rhododendron_2.jpg, images/rhododendron_3.jpg, images/rhododendron_4.jpg, images/rhododendron_5.jpg, images/rhododendron_6.jpg"
Rondeletia (Rondeletia),"Shrubs, Trees","Rondeletia flowers are white, yellow, pink and red, sometimes with yellow centers.",9-11,"Spring, Winter, Summer","The plant can grow up to 4,5 metres (15 ft) tall.","Rondeletia will grow best in rich, moist and well drained soil that is slightly acidic.","Full sun, Partial sun",avarage,low,"images/rondeletia_0.jpg, images/rondeletia_1.jpg, images/rondeletia_2.jpg, images/rondeletia_3.jpg, images/rondeletia_4.jpg, images/rondeletia_5.jpg, images/rondeletia_6.jpg"
Rosa (Rose),"Climbers, Roses, Shrubs",Roses range in color from white through various tones of yellow and pink to dark crimson and maroon.,2-10,"Spring, Autumn, Summer",Roses range in size from dwarf species (60 cm or 2 ft) to climbers that can reach 12 metres (40 ft).,"This plant grows best in moist and well drained soil, with a pH level between 5.5 and 7.0.","Full sun, Partial sun",avarage,medium,"images/rosa_0.jpg, images/rosa_1.jpg, images/rosa_2.jpg, images/rosa_3.jpg, images/rosa_4.jpg, images/rosa_5.jpg"
Rudbeckia (Coneflower),"Annuals, Perennials","Rudbeckias are mostly yellow, but also can be red and orange, with central cones that can be green, black and brown.",3-9,"Autumn, Summer",Rudbeckia plant can grow up to 30-120 cm (1-4 ft) in height.,"Rudbeckia likes moist and well drained soil that is neutral, alkaline or acidic.","Full sun, Partial sun",avarage,low,"images/rudbeckia_0.jpg, images/rudbeckia_1.jpg, images/rudbeckia_2.jpg, images/rudbeckia_3.jpg"
Salvia (Sage),"Annuals, Perennials, Shrubs","Salvia blooms in a range of colors, from traditional dark blue to light blue, red, pink, and white.",3-11,"Spring, Autumn, Winter, Summer",They grow from 30 cm to 180 cm (1 to 6 ft) tall.,"Salvia grows best in moist, but well drained soil, with a pH between 6.0 and 7.0.","Full sun, Partial sun",avarage,low,"images/salvia_0.jpg, images/salvia_1.jpg, images/salvia_2.jpg, images/salvia_3.jpg, images/salvia_4.jpg, images/salvia_5.jpg, images/salvia_6.jpg, images/salvia_7.jpg, images/salvia_8.jpg, images/salvia_9.jpg, images/salvia_10.jpg, images/salvia_11.jpg"
Sandersonia (Christmas Bells; Chinese Lantern Lily),"Climbers, Perennials",The flowers are orange or yellow.,8-11,"Spring, Summer",This plant grows up to 90 cm (3 ft) in height.,"Sandersonia aurantiaca prefers sandy or loamy soil that is moist, well drained and slightly acidic.",Full sun,avarage,low,"images/sandersonia_0.jpg, images/sandersonia_1.jpg, images/sandersonia_2.jpg, images/sandersonia_3.jpg, images/sandersonia_4.jpg"
Saxifraga (Saxifrage; Rockfoil),Perennials,"The flowers are usually white, but may be yellow, purple, pink and red.",3-10,"Spring, Autumn, Winter, Summer",This plant usually reaches about 30 cm (1 ft) in height.,"Appropriate soil type depends on species. In general, these plants like moist and well drained soil, with a pH level between 6.0. and 8.0.","Full sun, Partial sun, Shade",avarage,low,"images/saxifraga_0.jpg, images/saxifraga_1.jpg, images/saxifraga_2.jpg, images/saxifraga_3.jpg, images/saxifraga_4.jpg, images/saxifraga_5.jpg, images/saxifraga_6.jpg, images/saxifraga_7.jpg, images/saxifraga_8.jpg, images/saxifraga_9.jpg, images/saxifraga_10.jpg, images/saxifraga_11.jpg, images/saxifraga_12.jpg"
Scabiosa (Scabious; Pincushion Flower),"Annuals, Perennials","This beautiful flower comes in different colors such as blue, purple, white, yellow, pink and red.",3-9,"Autumn, Summer",Scabiosa range in height from 15 cm (6 inches) to 60 cm (2 ft).,"Scabiosa grows best in rich soil with good drainage, and with plenty of sunlight. It can be grown in soils with a pH range from 5.0 to 7.5.",Full sun,avarage,low,"images/scabiosa_0.jpg, images/scabiosa_1.jpg, images/scabiosa_2.jpg, images/scabiosa_3.jpg, images/scabiosa_4.jpg, images/scabiosa_5.jpg, images/scabiosa_6.jpg, images/scabiosa_7.jpg"
Scilla (Squill),Bulbs,"Scilla comes in shades of blue, purple and white. The blue ones are very pretty, some of the best blues to be found among flowers.",2-10,"Spring, Winter","Scilla can grow up to 60 cm (2 ft) high However, some species are less than 10 cm (4 inches) tall.","Scilla likes rich and well drained soil, with a pH level between 6.0 and 8.0. It will not grow well in waterlogged soils.","Full sun, Partial sun",avarage,low,"images/scilla_0.jpg, images/scilla_1.jpg, images/scilla_2.jpg, images/scilla_3.jpg, images/scilla_4.jpg, images/scilla_5.jpg, images/scilla_6.jpg, images/scilla_7.jpg"
Sedum (Stonecrops),"Cactus - Succulents, Perennials","Sedum flowers come in a rainbow of colors, from red, orange, pink and purple to yellow and white. Foliage can be found in a number of colors, too.",3-10,"Autumn, Summer","Sedums can grow from 10-90 cm (4 inches to 3 ft), depending on variety.","Sedum plants prefer well drained soil that is neutral, alkaline or acidic.","Full sun, Partial sun",low,low,"images/sedum_0.jpg, images/sedum_1.jpg, images/sedum_2.jpg, images/sedum_3.jpg, images/sedum_4.jpg"
Solidago (Goldenrod),Perennials,"Goldenrods come in a bright, golden-yellow color.",3-9,"Autumn, Summer","Goldenrods can grow up to 90 cm (3 ft) in height, while some species are just 10 cm (4 inches) tall.",Solidago grows best in well drained soil that is acidic to neutral.,Full sun,avarage,low,"images/solidago_0.jpg, images/solidago_1.jpg, images/solidago_2.jpg, images/solidago_3.jpg, images/solidago_4.jpg, images/solidago_5.jpg, images/solidago_6.jpg"
Strelitzia (Bird of Paradise; Crane Flower),"Perennials, Shrubs","Strelitzia flowers are bright orange, purple, red, yellow and dark blue. ",9-12,"Spring, Autumn, Winter, Summer","Strelitzia can grow as tall as 1 m (3 ft) or taller, while some species (Strelitzia nicolai) can reach 10 metres (33 ft) high.","Strelitzia prefers organically rich, moist and well drained soil.","Full sun, Partial sun",avarage,low,"images/strelitzia_0.jpg, images/strelitzia_1.jpg, images/strelitzia_2.jpg, images/strelitzia_3.jpg, images/strelitzia_4.jpg, images/strelitzia_5.jpg, images/strelitzia_6.jpg, images/strelitzia_7.jpg, images/strelitzia_8.jpg"
Syringa (Lilac),"Shrubs, Trees","Although they get their common name from their most popular color, Lilacs can also be found in other colors, such as blue, red, pink, white and yellow.",3-8,"Spring, Summer","Lilacs range in size from 2-10 metres (7-33 ft) high, depending on species.","Lilacs prefer fertile, moist, but well drained soil. The ideal soil pH for growing Lilacs is neutral to alkaline.","Full sun, Partial sun",avarage,low,"images/syringa_0.jpg, images/syringa_1.jpg, images/syringa_2.jpg, images/syringa_3.jpg, images/syringa_4.jpg, images/syringa_5.jpg, images/syringa_6.jpg, images/syringa_7.jpg, images/syringa_8.jpg, images/syringa_9.jpg, images/syringa_10.jpg"
Tagetes (Marigold),"Annuals, Perennials, Shrubs","Tagetes come in shades of yellow, orange and even white.",2-11,"Spring, Autumn, Summer","Tagetes usually grow between 15-80 cm (6 inches to 3 ft) tall, rarely until 2 metres (7 ft).",Well drained.,Full sun,avarage,low,images/tagetes_0.jpg
Tanacetum (Tanacetum),"Annuals, Perennials, Shrubs","Tanacetum flowers are usually white or yellow, depending on species.",3-9,Summer,Tanacetum plants can grow from a few inches to 150 cm (5 ft) tall.,"Tanacetum prefers moist and well drained soil, but tolerates a wide variety of soils and pH conditions.","Full sun, Partial sun",avarage,medium,"images/tanacetum_0.jpg, images/tanacetum_1.jpg, images/tanacetum_2.jpg, images/tanacetum_3.jpg, images/tanacetum_4.jpg, images/tanacetum_5.jpg, images/tanacetum_6.jpg, images/tanacetum_7.jpg, images/tanacetum_8.jpg"
Taraxacum (Dandelion),Perennials,They come in bright yellow and white colors.,3-10,"Spring, Autumn, Winter, Summer",Taraxacum usually grow between 5-50 cm (2-20 inches) in height.,"Although Dandelions adopt most conditions and grow everywhere, they grow best in moist areas with fertile, well drained soil.","Full sun, Partial sun",avarage,low,"images/taraxacum_0.jpg, images/taraxacum_1.jpg, images/taraxacum_2.jpg, images/taraxacum_3.jpg"
Tigridia (Tiger Flower; Mexican Shellflower),Bulbs,"Tigridia flowers may be red, yellow, white, cream, orange, scarlet, pink and mauve. ",8-11,Summer,These plants usually grow between 30 and 60 cm (1-2 ft) tall.,"Tigridia performs best in rich, well drained soils.","Full sun, Partial sun",avarage,low,"images/tigridia_0.jpg, images/tigridia_1.jpg, images/tigridia_2.jpg, images/tigridia_3.jpg, images/tigridia_4.jpg, images/tigridia_5.jpg, images/tigridia_6.jpg, images/tigridia_7.jpg, images/tigridia_8.jpg"
Torenia (Wishbone Flower; Bluewings; Clown Flower),Annuals,"Torenia flowers come in shades of purple, blue, pink, yellow and white.",2-11,"Spring, Autumn, Summer",Torenia grows up to 30 cm (1 ft) in height.,"Torenia prefers rich, loamy, moist and well drained soil. The plant is not particular about soil pH, but it does best in a soil that is slightly acidic. ","Partial sun, Shade",avarage,medium,"images/torenia_0.jpg, images/torenia_1.jpg, images/torenia_2.jpg, images/torenia_3.jpg, images/torenia_4.jpg, images/torenia_5.jpg, images/torenia_6.jpg, images/torenia_7.jpg, images/torenia_8.jpg"
Tricyrtis (Toad Lily),Perennials,"Tricyrtis flowers come in shades of red, purple, white and yellow.",4-9,"Autumn, Summer",Tricyrtis reaches up to 90 cm (3 ft) in height.,"Tricyrtis prefers rich, moist and well drained soil, with a pH from acid to neutral. The plant is adaptable and can tolerate heat, cold, and humidity. ","Partial sun, Shade",avarage,low,"images/tricyrtis_0.jpg, images/tricyrtis_1.jpg, images/tricyrtis_2.jpg, images/tricyrtis_3.jpg, images/tricyrtis_4.jpg, images/tricyrtis_5.jpg, images/tricyrtis_6.jpg, images/tricyrtis_7.jpg, images/tricyrtis_8.jpg, images/tricyrtis_9.jpg, images/tricyrtis_10.jpg"
Trillium (Wake Robins; Birthroot),Perennials,"Flower color varies from red, pink, maroon and purple to yellow and white.",3-9,"Spring, Summer",They usually grow between 30-60 cm (1-2 ft) in height.,Trillium perform best in moist and well drained soil that is neutral to slightly acidic.,"Partial sun, Shade",avarage,low,"images/trillium_0.jpg, images/trillium_1.jpg, images/trillium_2.jpg, images/trillium_3.jpg, images/trillium_4.jpg"
Trollius (Globe flower),Perennials,These beautiful flowers bloom in shades of yellow and orange.,3-8,"Spring, Summer",Trollius can grow up to 90 cm (3 ft) in height.,"Trollius prefer rich, poorly-drained soil and regular moisture.","Full sun, Partial sun",avarage,low,"images/trollius_0.jpg, images/trollius_1.jpg, images/trollius_2.jpg, images/trollius_3.jpg, images/trollius_4.jpg, images/trollius_5.jpg"
Tropaeolum (Nasturtium),"Annuals, Perennials","Nasturtium comes in red, orange, yellow and cream color.",2-11,"Spring, Autumn, Summer","Nasturtium vary in height from 20 cm (8 inches) to 3 metres (10 ft), depending on species.",The plant is suitable for sandy and loamy soils with a pH between 5.5 and 7.5. They can grow in nutritionally poor soil. ,Full sun,avarage,low,"images/tropaeolum_0.jpg, images/tropaeolum_1.jpg, images/tropaeolum_2.jpg, images/tropaeolum_3.jpg, images/tropaeolum_4.jpg, images/tropaeolum_5.jpg"
Tulipa (Tulip),"Annuals, Bulbs, Perennials",You will find Tulips in nearly every color and pattern.,3-9,Spring,"Tulips can be short (less than 20 cm or 8 inches), medium (20-45 cm or 8-18 inches) and tall (greater than 45 cm or 18 inches).","Tulips prefer fertile, moist, soft and well drained soil.","Full sun, Partial sun",low,low,"images/tulipa_0.jpg, images/tulipa_1.jpg, images/tulipa_2.jpg, images/tulipa_3.jpg, images/tulipa_4.jpg, images/tulipa_5.jpg, images/tulipa_6.jpg"
Ulex (Gorse; Furze),Shrubs,Its flowers are usually yellow in color.,6-10,"Spring, Autumn, Winter, Summer",The plant can grow up to 3 metres (10 ft) high.,"Gorse grows on most soils, but will perform best in soil that is slightly acidic and sandy. It appreciates hot sun and dry, poor soils.",Full sun,low,low,"images/ulex_0.jpg, images/ulex_1.jpg, images/ulex_2.jpg, images/ulex_3.jpg, images/ulex_4.jpg, images/ulex_5.jpg, images/ulex_6.jpg, images/ulex_7.jpg"
Ursinia (African Daisy),"Annuals, Perennials","Ursinia have daisy-like yellow, red or orange flowers.",3-11,"Spring, Autumn, Winter, Summer",Ursinia can grow from 20 cm to 60 cm (8 inches to 2 ft) in height.,"Ursinia prefers sandy, fertile and well drained soil.","Full sun, Partial sun",avarage,low,"images/ursinia_0.jpg, images/ursinia_1.jpg, images/ursinia_2.jpg, images/ursinia_3.jpg, images/ursinia_4.jpg, images/ursinia_5.jpg, images/ursinia_6.jpg"
Valeriana (Valerian),Perennials,"Valeriana flowers are white, pink or lavender.",4-9,"Autumn, Summer","The plant can reach 1,5 meters (5 ft) in height.","The plant performs best in fertile, moist and well drained soil, with slightly acidic to neutral pH.","Full sun, Partial sun",avarage,low,"images/valeriana_0.jpg, images/valeriana_1.jpg, images/valeriana_2.jpg, images/valeriana_3.jpg, images/valeriana_4.jpg, images/valeriana_5.jpg, images/valeriana_6.jpg, images/valeriana_7.jpg, images/valeriana_8.jpg"
Verbascum (Mullein),"Annuals, Perennials","Verbascum flowers are primarily bright yellow, but also white, red, purple and pink.",5-10,"Spring, Summer",Verbascum has a flower spike that reaches 3 metres (10 ft) high.,Grow Verbascum in well drained soil. Verbascum plants prefer slightly alkaline soil pH.,Full sun,low,low,"images/verbascum_0.jpg, images/verbascum_1.jpg, images/verbascum_2.jpg, images/verbascum_3.jpg"
Verbena (Vervain),"Annuals, Perennials","Verbena blooms in shades of violet, lavender, red, pink and white.",3-12,"Autumn, Summer",Verbena can grow from 7 cm to 180 cm (3 inches to 6 ft) tall.,"Moist, but well drained.","Full sun, Partial sun",avarage,low,"images/verbena_0.jpg, images/verbena_1.jpg, images/verbena_2.jpg, images/verbena_3.jpg, images/verbena_4.jpg, images/verbena_5.jpg, images/verbena_6.jpg"
Veronica (Speedwell),Perennials,"Veronica come in shades of blue, purple, pink and white.",3-11,"Spring, Autumn, Summer","Veronica come in a wide range of sizes, from 10 cm to 2 metres (4 inches to 7 ft) in height.","This plant prefers moist, but well drained soil that is neutral, alkaline or acidic.","Full sun, Partial sun",avarage,low,"images/veronica_0.jpg, images/veronica_1.jpg, images/veronica_2.jpg, images/veronica_3.jpg"
Veronicastrum (Culver’s root),Perennials,"Veronicastrum flowers come in shades of white, purple and pink.",3-9,"Autumn, Summer",Veronicastrum reaches nearly 2 m (6 ft) in height.,"Veronicastrum prefers fertile, moist and well drained soil. It tolerates a wide range of soil pH levels.","Full sun, Partial sun",avarage,low,"images/veronicastrum_0.jpg, images/veronicastrum_1.jpg, images/veronicastrum_2.jpg, images/veronicastrum_3.jpg, images/veronicastrum_4.jpg, images/veronicastrum_5.jpg, images/veronicastrum_6.jpg, images/veronicastrum_7.jpg"
Vinca (Periwinkle),"Perennials, Shrubs","Vinca come in pink, purple, red and white colors.",3-11,"Autumn, Summer",Vinca plants range in size from dwarf species that grow only about 10 cm (4 inches) tall to the larger types which can grow up to 60 cm (2 ft) in height.,"Vinca prefers moist, but well drained soil and is adaptable to soils of various pH.","Full sun, Partial sun, Shade",avarage,low,"images/vinca_0.jpg, images/vinca_1.jpg, images/vinca_2.jpg, images/vinca_3.jpg, images/vinca_4.jpg"
Viola (Violet),"Annuals, Perennials, Shrubs","As their name suggests, many species are violet in color, but can also be blue, white, yellow and cream. Some blooms have two or even three colors.",3-9,"Spring, Autumn, Winter, Summer",Violas are small plants up to 20 cm (8 inches) tall.,"Violas prefer a rich, moist and well drained soil.","Full sun, Partial sun",avarage,low,"images/viola_0.jpg, images/viola_1.jpg, images/viola_2.jpg, images/viola_3.jpg, images/viola_4.jpg, images/viola_5.jpg, images/viola_6.jpg, images/viola_7.jpg, images/viola_8.jpg, images/viola_9.jpg, images/viola_10.jpg"
Watsonia (Bugle Lily),"Bulbs, Perennials","Watsonia flowers come in shades of red, pink, orange, purple and white.",8-11,"Spring, Autumn, Winter, Summer",Watsonia range from 30 cm to 2 metres (1 ft to 7 ft) in height.,The soil should be acidic or neutral and should be moist and well drained. ,Full sun,avarage,low,"images/watsonia_0.jpg, images/watsonia_1.jpg, images/watsonia_2.jpg"
Weigela (Weigela),Shrubs,"Weigela flowers come in red, pink, white and yellow.",4-9,"Spring, Autumn, Summer",Weigela species range from 30 cm (1 ft) to 3 metres (10 ft) high.,"Weigela prefers fertile and moist, but well drained soil.","Full sun, Partial sun",avarage,low,"images/weigela_0.jpg, images/weigela_1.jpg, images/weigela_2.jpg, images/weigela_3.jpg, images/weigela_4.jpg, images/weigela_5.jpg, images/weigela_6.jpg, images/weigela_7.jpg"
Wisteria (Wisteria),Climbers,"Wisteria come in shades of white, blue, purple and pink.",5-9,"Spring, Summer",Wisterias can grow from 180 cm to 12 metres (6 to 40 ft) high.,"Wisteria likes moist, well drained and fertile soil. It grows best in slightly acidic to neutral soil.","Full sun, Partial sun",avarage,hard,"images/wisteria_0.jpg, images/wisteria_1.jpg, images/wisteria_2.jpg, images/wisteria_3.jpg, images/wisteria_4.jpg"
Xanthisma (Xanthisma),"Annuals, Perennials","Xanthisma flowers are generally yellow in color, but there are also varieties that are white and purple.",3-9,"Spring, Autumn, Winter, Summer",The plant can reach a height of 60 cm (2 ft).,"Xanthisma prefers well-drained, sandy soils and can survive in dry soil as well. The soil pH can vary from 5.0. to 7.0. ","Full sun, Partial sun",low,low,"images/xanthisma_0.jpg, images/xanthisma_1.jpg, images/xanthisma_2.jpg, images/xanthisma_3.jpg, images/xanthisma_4.jpg"
Xeranthemum (Immortelle; Everlasting),Annuals,"Xeranthemum flowers come in shades of pink, purple and white.",2-10,"Autumn, Summer",Xeranthemum can grow between 30 and 90 cm (1-3 ft) tall.,"The plant prefers fertile, moist and well drained soil.",Full sun,avarage,low,"images/xeranthemum_0.jpg, images/xeranthemum_1.jpg, images/xeranthemum_2.jpg, images/xeranthemum_3.jpg"
Xerochrysum (Strawflower),"Annuals, Perennials","Xerochrysum bracts come in shades of yellow, orange, purple, pink and red. The tiny individual flowers are usually yellow in color.",8-11,"Spring, Autumn, Summer","Xerochrysum grows 20 to 150 cm (8 inches to 5 ft) tall, depending on species.","Xerochrysum prefers soil with a pH of 5.5 to 7.5, but the plant grows in nearly any well-drained soil.",Full sun,avarage,low,"images/xerochrysum_0.jpg, images/xerochrysum_1.jpg, images/xerochrysum_2.jpg, images/xerochrysum_3.jpg, images/xerochrysum_4.jpg, images/xerochrysum_5.jpg, images/xerochrysum_6.jpg"
Xerophyllum (Turkey beard; Bear Grass),"Herbs, Perennials",This plant has unique cream-colored flowers.,4-8,"Spring, Summer","These species can grow from 50 cm to 1.5 meters (2-5 ft) tall, with a numerous small flowers growing on a stalk.",Xerophyllum prefers sandy or loamy soil that is well drained.,"Full sun, Partial sun",low,low,"images/xerophyllum_0.jpg, images/xerophyllum_1.jpg, images/xerophyllum_2.jpg, images/xerophyllum_3.jpg, images/xerophyllum_4.jpg, images/xerophyllum_5.jpg, images/xerophyllum_6.jpg, images/xerophyllum_7.jpg, images/xerophyllum_8.jpg, images/xerophyllum_9.jpg, images/xerophyllum_10.jpg"
Yucca (Yucca),"Cactus - Succulents, Shrubs, Trees","The Yucca plant has green, sword-like leaves and white or whitish flowers.",4-11,"Spring, Autumn, Summer","Yucca can grow from 60 cm to 4,5 metres (2 to 15 ft) high.","Yucca grows best in sandy and well drained soil, with a pH between 5.5 and 7.5.","Full sun, Partial sun",low,low,"images/yucca_0.jpg, images/yucca_1.jpg, images/yucca_2.jpg, images/yucca_3.jpg, images/yucca_4.jpg, images/yucca_5.jpg, images/yucca_6.jpg, images/yucca_7.jpg"
Zantedeschia (Calla Lily; Arum Lily),"Bulbs, Perennials","Zantedeschia is available in a multitude of colors including white, yellow, orange, pink, purple and even black.",3-10,"Spring, Summer",Zantedeschia can grow between 30 and 90 cm (1 to 3 ft) in height.,Zantedeschia grows best in moist and well drained soil. The ideal soil pH is from 6.0 to 6.5.,"Full sun, Partial sun",avarage,low,"images/zantedeschia_0.jpg, images/zantedeschia_1.jpg, images/zantedeschia_2.jpg, images/zantedeschia_3.jpg, images/zantedeschia_4.jpg, images/zantedeschia_5.jpg, images/zantedeschia_6.jpg, images/zantedeschia_7.jpg, images/zantedeschia_8.jpg, images/zantedeschia_9.jpg"
Zephyranthes (Rain Lily; Fairy Lily),"Annuals, Bulbs, Perennials","Zephyranthes flowers may be yellow, pink and white.",7-11,"Spring, Autumn, Summer",Zephyranthes can grow up to 30 cm (1 ft) in height.,Zephyranthes prefers well drained soil with a good application of organic material.,"Full sun, Partial sun",avarage,medium,"images/zephyranthes_0.jpg, images/zephyranthes_1.jpg, images/zephyranthes_2.jpg, images/zephyranthes_3.jpg, images/zephyranthes_4.jpg, images/zephyranthes_5.jpg, images/zephyranthes_6.jpg, images/zephyranthes_7.jpg"
Zinnia (Zinnia),"Annuals, Perennials, Shrubs","Zinnia flowers are known for their vivid colors. They are often multi-colored and may be yellow, orange, white, red, pink and purple. ",2-11,"Autumn, Summer",Zinnias range in size from dwarf species (just 17 cm or 7 inches) to giants (120 cm or 4 ft).,"Zinnias prefer fertile and moist, but well drained soil with a pH between 5.5 and 7.5.",Full sun,avarage,low,"images/zinnia_0.jpg, images/zinnia_1.jpg, images/zinnia_2.jpg, images/zinnia_3.jpg, images/zinnia_4.jpg, images/zinnia_5.jpg, images/zinnia_6.jpg"
Zygopetalum (Zygo),"Annuals, Perennials","Zygopetalum have unusually colored flowers in shades of blue, purple, red and white.",9-11,"Spring, Autumn, Winter",Zygopetalum usually grows to a height of 40 cm (1-2 ft).,The plant prefers moist and well drained soil. with a pH level between 5.5 and 6.5.,"Full sun, Partial sun",avarage,medium,"images/zygopetalum_0.jpg, images/zygopetalum_1.jpg, images/zygopetalum_2.jpg, images/zygopetalum_3.jpg, images/zygopetalum_4.jpg, images/zygopetalum_5.jpg, images/zygopetalum_6.jpg, images/zygopetalum_7.jpg"
